,Position,Skipper,Bateau,Foil,Vitesse nds,Vitesse kmh,VMG,Lat,Long,Dist au premier nm,Dist au premier km,Dist a arrivee nm,Dist a arrivee km,percent classement,Date,Latitude,Longitude
0,1,Charlie Dalin,APIVIA,1,17.64,32.67,13.66,39° 18'42'' S,6° 1'46'' E,0.0,0.0,18129.2,33575.28,25.4,2020-11-29 08:00:00,-39.3117,6.0294
1,2,Thomas Ruyant,LinkedOut,1,19.87,36.8,12.52,38° 38'25'' S,0° 10'55'' O,285.74,529.19,18414.9,34104.39,24.2,2020-11-29 08:00:00,-38.6403,-0.1819
2,3,Jean Le Cam,Yes We Cam!,0,16.49,30.54,14.38,37° 19'54'' S,1° 9'21'' O,358.38,663.72,18487.5,34238.85,23.9,2020-11-29 08:00:00,-37.3317,-1.1558
3,4,Kevin Escoffier,PRB,1,15.19,28.13,13.07,38° 37'14'' S,1° 51'6'' O,358.94,664.76,18488.1,34239.96,23.9,2020-11-29 08:00:00,-38.6206,-1.8517
4,5,Yannick Bestaven,Maître CoQ IV,1,19.73,36.54,13.0,37° 55'29'' S,2° 4'22'' O,384.48,712.06,18513.6,34287.19,23.8,2020-11-29 08:00:00,-37.9247,-2.0728
5,6,Louis Burton,BUREAU VALLEE 2,1,15.22,28.19,15.15,41° 17'41'' S,4° 32'10'' O,418.43,774.93,18547.6,34350.16,23.7,2020-11-29 08:00:00,-41.2947,-4.5361
6,7,Sebastien Simon,ARKEA PAPREC,1,18.83,34.87,13.05,37° 29'5'' S,2° 41'50'' O,422.13,781.78,18551.3,34357.01,23.6,2020-11-29 08:00:00,-37.4847,-2.6972
7,8,Boris Herrmann,SEAEXPLORER - YACHT CLUB DE MONACO,1,18.54,34.34,11.8,37° 38'6'' S,3° 27'36'' O,451.84,836.81,18581.0,34412.01,23.5,2020-11-29 08:00:00,-37.635,-3.46
8,9,Damien Seguin,GROUPE APICIL,0,16.89,31.28,16.77,39° 53'45'' S,6° 31'38'' O,532.71,986.58,18661.9,34561.84,23.2,2020-11-29 08:00:00,-39.8958,-6.5272
9,10,Samantha Davies,INITIATIVES-COEUR,1,14.43,26.72,13.53,40° 46'47'' S,8° 3'38'' O,579.03,1072.36,18708.2,34647.59,23.0,2020-11-29 08:00:00,-40.7797,-8.0606
10,11,Giancarlo Pedote,PRYSMIAN GROUP,1,16.5,30.56,16.49,39° 55'58'' S,7° 39'52'' O,580.58,1075.23,18709.7,34650.36,23.0,2020-11-29 08:00:00,-39.9328,-7.6644
11,12,Benjamin Dutreux,OMIA - WATER FAMILY,0,16.11,29.84,15.15,39° 52'20'' S,8° 3'20'' O,598.66,1108.72,18727.8,34683.89,22.9,2020-11-29 08:00:00,-39.8722,-8.0556
